小行星	665680
人	406846
时	284893
中国	278891
日本	259094
香港	239112
台湾	236592
美国	213204
电影	170328
小组	159676
索	149665
林肯	148827
科罗	146359
时间	142217
公司	135086
大学	133898
国家	133039
国际	128374
太空	124767
历史	124331
峰	119801
山	119206
区	118076
世界	117016
基特	116471
作品	114315
车站	113832
角色	111208
参考资料	110963
线	110339
内	109334
地区	106967
中心	104352
系统	102177
音乐	101531
计划	99938
参考文献	98402
游戏	97862
专辑	97703
饰演	95873
冠军	95116
节目	94217
路	92452
学校	92295
英国	90475
文化	88147
奖	86651
成员	85215
名称	83745
政府	82643
莱蒙	82449
演员	80869
歌曲	78756
电视	78571
巡天	76642
学院	76430
部分	76031
时期	75260
林	74849
电视台	74433
世纪	74217
町	73848
郡	73695
事件	72517
动画	69180
机场	68979
年度	68520
市	67876
代表	67850
上海	67654
法国	66669
学生	66646
人物	64018
问题	63622
镇	62682
委员会	62211
铁路	61799
台北	61739
链接	61456
版本	61433
原	61417
北京	60966
列表	60618
韩国	60361
著	59954
德国	59185
版	59103
王	59081
作曲	58546
关系	58345
故事	58145
巴士	57284
街	56662
乡	56586
路线	56562
政治	56199
有限公司	56124
结果	55871
电视剧	55452
女子	55068
总统	54992
建筑	54975
城市	54552
单曲	54406
列车	54387
欧洲	54011
经济	53765
父亲	53474
公园	53064
卡特	53040
东	52824
东京	52819
社会	52102
小时	51771
全国	51767
地方	51596
项目	50623
人口	50620
技术	50284
配音	50188
国	50041
时代	49964
年份	49612
个人	48416
方向	48237
南	48143
决赛	48089
战争	47656
球队	47098
集团	47057
资料	46862
作词	46808
赛	46768
单位	46737
中学	46193
民国	45364
主席	45327
男子	45269
情况	45131
子	44907
成绩	44583
登场	44580
大陆	44470
男	44401
成	44380
中华民国	44041
中央	44028
城	43394
编曲	43388
歌手	43143
工程	43122
内容	42804
航空	42718
唱片	42512
方式	42507
无法	42427
科	41890
语言	41741
月台	41595
方面	41525
毕业	41475
母亲	41390
军	41185
处	41020
亚洲	40729
队	40609
马山	40415
足球	40300
来源	40168
小说	40029
帕洛	39886
新闻	39813
艺术	39790
部	39768
指	39477
能力	39467
官方网站	39311
频道	39259
球员	39208
编号	39082
号线	39073
天文台	38787
昭和	38777
话	38436
北	38173
李	38167
经	38151
医院	38138
命名	38101
州	38094
赛事	37853
将军	37801
客运	37764
约翰	37507
产生	37440
海军	37424
协会	37398
羽毛球	36962
交通	36546
团体	36467
省	36336
少女	36228
广场	36210
官方	35706
英文	35614
结构	35462
印度	35239
斯	35047
教授	34717
英语	34507
女性	34473
主演	34393
网页	34209
漫画	33847
标准	33749
名字	33641
奖项	33556
公路	33360
街道	33046
会议	32973
马	32925
金	32824
人类	32369
史	32364
传统	32268
东北	32211
道路	32155
先生	31990
杂志	31975
过程	31888
家庭	31722
任务	31712
德	31673
广州	31641
中文	31541
分类	31453
生平	31451
剧集	31373
运动员	31182
面积	31110
议员	31092
网站	30923
加拿大	30678
纪录	30631
美	30621
卡	30558
主题曲	30483
亚军	30471
陈	30440
科学	30339
部队	30233
职业	30228
区域	30157
岛	30142
演唱会	29787
澳门	29771
出版社	29656
范围	29646
儿子	29575
兄弟	29379
媒体	29354
时候	29229
大量	29218
形式	29216
国王	29214
铁道	29167
事	29151
人民	29108
帝国	29099
地球	29071
机构	29048
魔法	29034
苏联	28968
俄罗斯	28817
武器	28731
模式	28696
嘉宾	28657
晋级	28438
家族	28351
小学	28202
寺	28140
英雄	28114
部长	28111
功能	27944
全部	27884
方法	27725
博物馆	27691
公主	27642
全球	27613
朋友	27608
龙	27548
新加坡	27476
军队	27414
字	27401
骑士	27302
空间	27300
科技	27297
市场	27289
企业	27215
利用	27085
理论	26929
社区	26819
姓名	26765
府	26764
西班牙	26580
集数	26451
门	26424
工业	26417
社	26243
条目	26217
人数	26188
股份	26154
神	26140
行政	26135
环境	26027
银行	26025
歌	26022
遗址	25874
女儿	25649
太阳	25647
编剧	25628
线路	25585
距离	25535
广东	25516
纪念	25399
人员	25361
大道	25361
校长	25303
法律	25267
力量	25193
故	25064
速度	24992
西北	24939
委员	24893
陆军	24861
又称	24806
传说	24766
台北市	24728
锦标赛	24682
生涯	24553
皇帝	24516
主题	24380
类型	24370
数据	24342
规定	24292
设施	24288
动物	24233
作家	24168
定义	24158
大奖	24129
中华	24032
妻子	23959
中华人民共和国	23948
基本	23914
军事	23833
资讯	23811
广告	23636
西南	23586
目标	23579
剧	23552
交流	23552
居民	23495
图	23481
地铁	23373
花园	23343
报告	23319
汽车	23230
评价	23202
影片	23108
背景	23106
研究所	23037
政策	23028
南京	23026
文学	23009
马来西亚	22938
越南	22923
原因	22890
厅	22871
名单	22820
威廉	22796
地点	22776
图书馆	22697
俱乐部	22675
大楼	22667
语	22639
水	22623
网络	22565
朝鲜	22518
太郎	22495
巴黎	22465
主唱	22436
乐团	22432
营运	22407
飞机	22343
玩家	22306
战士	22303
连	22295
电子	22209
博士	22206
师	22153
爱情	22135
战役	22079
经历	22016
局	21995
民族	21992
意大利	21986
罗马	21973
伦敦	21959
桥	21935
原本	21933
宗教	21925
基础	21872
粤语	21802
民主	21784
王国	21723
商业	21702
车辆	21692
队伍	21629
洛厄尔	21628
星	21470
宇宙	21430
梦	21420
馆	21305
著作	21244
标题	21227
英格兰	21201
天使	21189
荷兰	21164
专业	21153
剧情	21133
主角	21078
党	21051
轨道	21041
人士	21026
纽约	20976
大臣	20935
状态	20914
性	20913
书	20864
学者	20593
制度	20566
剧场	20551
心	20531
总站	20510
作者	20478
儿童	20468
隧道	20383
天津	20354
班	20327
产品	20278
身份	20273
戏剧	20262
女主角	20225
参赛	20193
领导	20150
老师	20098
原名	20083
总理	20056
东南	20045
机车	19973
艺人	19895
主持人	19844
记者	19826
记录	19794
剧本	19761
黄金	19717
土地	19558
数量	19554
规划	19530
建议	19498
观众	19484
荣誉	19447
议会	19433
皇后	19417
化	19403
王子	19343
孩子	19335
争议	19308
榜	19276
双方	19247
传	19237
偶像	19180
曲目	19111
球	19098
光	19046
普通	18912
球场	18875
山东	18836
浙江	18822
酒店	18759
秘密	18749
平台	18729
引擎	18674
大厦	18624
周	18600
皇家	18403
风格	18391
卫视	18359
东西	18298
楼	18288
单元	18280
数	18268
富士	18245
人生	18244
人们	18217
女人	18171
条	18142
车队	18134
澳洲	18126
生物	18113
国道	18090
室	18077
空军	18043
身体	17980
部门	17948
阶段	17837
日军	17828
团	17823
任命	17764
事业	17747
客串	17677
大会	17643
波兰	17633
特征	17598
红色	17592
尔	17551
巴西	17548
现任	17447
国语	17447
网路	17446
和平	17438
概念	17407
台风	17353
舰队	17342
男性	17323
新城	17312
田	17250
泰国	17231
头	17217
目的	17207
大卫	17197
乔治	17166
选区	17146
植物	17116
教堂	17115
电台	17093
评论	17075
记	17050
捷运	17022
电脑	17021
黑色	16961
学园	16924
教会	16921
基地	16868
北海道	16859
文	16841
地位	16838
条件	16814
大使	16803
佛教	16799
少将	16791
实际	16788
代理	16782
地震	16782
机械	16776
政党	16712
旅客	16578
部份	16569
院长	16565
现场	16557
机会	16529
高雄	16517
元素	16517
数字	16494
医生	16494
声音	16456
卫星	16451
期	16447
台中市	16438
鱼	16420
业务	16410
农业	16410
领域	16402
宫	16394
夫人	16384
课程	16365
通车	16294
大桥	16288
舞台	16210
学	16165
热带	16117
王朝	16101
季	16031
都市	16016
男主角	15959
手	15934
江苏	15915
天主教	15872
四川	15865
非洲	15860
原创	15835
白色	15767
地理	15735
世界杯	15705
河南	15703
名义	15687
数位	15681
重庆	15670
学会	15660
群	15643
出场	15640
资格	15637
九龙	15621
意思	15619
联邦	15613
队长	15590
明星	15567
精神	15539
森林	15531
函数	15519
颁奖典礼	15514
码头	15508
体育馆	15448
市长	15438
信息	15423
东京都	15394
书记	15391
官员	15386
大阪	15373
金牌	15369
产业	15354
基督教	15339
教师	15333
保罗	15280
报导	15261
店	15246
长度	15238
公演	15220
核心	15211
男人	15203
投票	15194
共和国	15186
书籍	15177
摄影	15146
站台	15141
乘客	15140
历任	15127
美丽	15119
铃木	15115
小姐	15109
传奇	15028
高度	14986
数学	14985
中场	14972
声优	14970
年龄	14962
宪法	14952
市区	14933
佐藤	14924
战	14915
特色	14909
原作	14877
律师	14827
地面	14785
一带	14782
太子	14780
个性	14768
公车	14758
作画	14756
政权	14733
内阁	14723
瑞典	14723
公民	14721
马克	14715
女演员	14708
官	14703
性格	14702
国会	14685
高雄市	14685
杨	14684
士兵	14649
文字	14613
收视率	14608
格	14607
协议	14588
女孩	14516
性质	14514
伊	14480
对象	14480
妹妹	14463
